10.69694435	3.99999992	3	9
10.2399259	4.00000275	3	6
5.94445143	6.37352486	4	2
6.20212918	7.21394997	5	1
0	0	9	4
8.51479002	6.3234756	5	1
10.72031312	4.85312355	5	2
8.44946771	-6.2854668	5	6
11.94688505	1.8956788	5	2
8.17500068	6.54999947	4	4
0	0	9	6
6.54038246	4.61225909	4	1
10.21692755	5.18871575	4	9
12.28841458	17.81023329	5	4
0	0	9	2
0	0	9	6
8.14336736	-5.91749094	5	1
0	0	9	6
0	0	9	6
0	0	9	6
0	0	9	6
0	0	9	1
0	0	9	1
0	0	9	6
0	0	9	1
0	0	9	2
0	0	9	1
0	0	9	1
0.20328446	11.86443947	6	9
11.16402993	1.35488294	2	6
0	0	9	9
11.00796182	4.00000126	4	4
11.167957	1.34573316	2	6
5.87924757	7.57828763	5	4
11.52678113	10.33756815	4	2
11.70910036	10.44235875	4	2
10.27381636	5.15079105	4	1
11.93236471	1.88874693	4	8
0	0	9	1
6.34655676	6.25683327	4	8
6.01328552	6.59025817	3	8
5.82321697	-2.34524417	4	5
10.66300807	11.13075231	9	2
5.12080683	5.59612772	4	5
19.59194836	30.7709885	7	6
0	0	9	1
0	0	9	9
0	0	9	8
11.99364638	10.58470355	5	2
11.63356324	1.91388018	3	6
0	0	9	9
5.93150513	6.30704337	3	5
0	0	9	2
0	0	9	1
0	0	9	5
0	0	9	8
0	0	9	2
6.14308055	6.10963689	4	2
0	0	9	5
0	0	9	8
8.09315455	6.60456312	3	5
0	0	9	8
0	0	9	6
7.92429682	6.71713565	3	5
6.02960663	6.21261991	3	8
5.82924402	6.01370296	3	2
0	0	9	9
0	0	9	1
6.00955908	-2.81093728	5	9
5.96619961	6.24505398	5	2
0.83619076	11.44253135	7	1
8.48735205	6.96713603	6	8
0	0	9	1
11.17770457	9.79912327	6	2
6.03126264	6.00742299	3	1
0	0	9	5
6.16795561	6.60615731	4	5
0	0	9	9
0	0	9	8
0	0	9	5
0	0	9	2
0	0	9	9
5.86731132	-3.05671417	5	5
0	0	9	6
0	0	9	2
11.80706533	2.02732177	3	8
11.87670279	1.68897215	3	8
6.07610452	5.79689627	3	2
0	0	9	9
16.6184559	-3.07892847	7	5
0	0	9	1
11.04246868	10.42036892	4	2
6.11594391	7.16779719	3	1
0	0	9	8
5.77203156	5.98438213	4	2
0	0	9	8
11.85261752	1.69129045	2	8
6.33937112	5.85257436	3	2
4.889496	-5.19147829	5	5
0	0	9	9
0	0	9	8
0	0	9	1
0	0	9	2
0	0	9	1
0	0	9	8
6.15678531	7.89547558	3	5
11.8309043	10.46147059	6	2
8.9701346	6.01991119	3	5
0	0	9	8
0	0	9	9
0	0	9	1
6.00847266	6.23858755	3	8
0	0	9	5
5.73763977	6.42953875	4	2
9.53114046	1.64590698	5	1
10.13131153	1.24579237	5	5
4.53300898	6.79210004	5	2
9.31351156	1.79099311	5	6
6.41307303	6.87507286	5	5
12.08831504	9.94933343	4	9
11.92264746	9.6989104	4	2
8.90591603	6.07280966	3	6
8.59820479	6.64505808	3	8
0	0	9	5
11.62939289	1.77548533	3	6
0	0	9	1
0	0	9	2
0	0	9	9
6.12435935	9.90522925	5	8
8.79523348	5.80862336	3	1
0	0	9	5
9.2189064	6.31219528	3	1
0	0	9	2
0	0	9	9
0	0	9	8
6.14627265	6.14925848	4	2
0	0	9	6
15.10757375	6.07172053	6	9
0	0	9	5
0	0	9	8
0	0	9	6
5.88384142	-2.05664969	4	5
6.03931173	-1.70418825	5	8
11.84415095	10.6442055	4	5
0	0	9	1
0	0	9	2
0	0	9	8
0	0	9	9
0	0	9	6
0	0	9	9
11.6225339	2.42513654	5	6
0	0	9	2
0	0	9	5
0	0	9	2
0	0	9	8
0	0	9	5
12.45706108	12.37294212	5	5
0	0	9	6
0	0	9	9
0	0	9	2
0	0	9	5
0	0	9	8
6.61244974	7.49124365	3	1
0	0	9	2
9.08992132	4.883854	9	6
10.48775622	8.68365135	4	5
0	0	9	9
6.28903093	-1.19139666	4	8
0	0	9	1
0	0	9	6
0	0	9	9
6.37763583	6.14065182	3	8
6.1130282	6.60679162	4	5
0	0	9	1
7.02298588	7.31800421	3	5
0	0	9	2
10.03251596	5.3116566	3	1
0	0	9	9
0	0	9	8
22.5356358	37.53557105	7	5
0	0	9	9
5.95618651	6.89369504	4	8
6.38876007	6.12684051	2	8
12.29115115	11.723702	4	5
7.01128039	-1.34859766	4	8
5.71288673	-3.31822696	4	5
0	0	9	2
0	0	9	9
5.43977735	-2.61685921	4	8
11.82109023	9.97787707	4	2
12.29005561	11.71239062	4	5
6.52303619	-2.00954659	4	8
11.7166753	10.41691669	4	2
16.00493021	7.99995309	6	9
11.23180408	9.5628643	9	5
0	0	9	8
0	0	9	2
0	0	9	9
0	0	9	8
11.24114406	10.39253603	4	5
0	0	9	8
6.09947049	-2.66238838	5	9
0	0	9	2
6.14617217	-2.54851203	4	9
0	0	9	8
6.92585721	3.38276241	4	8
0	0	9	6
0	0	9	9
0	0	9	2
0	0	9	5
9.49418474	1.6705434	4	9
11.68905995	2.32813431	9	2
0	0	9	8
0	0	9	5
0	0	9	6
5.83757275	5.1993355	3	1
0	0	9	8
0	0	9	5
0	0	9	6
0	0	9	5
6.06390974	6.70909314	3	8
0	0	9	5
0	0	9	6
0	0	9	2
6.08591173	6.48307357	4	5
0	0	9	1
9.63782183	9.06784054	3	5
5.88446347	-3.16276883	4	9
11.10545184	10.24129407	4	5
0	0	9	6
11.73191598	10.44148872	4	5
0	0	9	2
6.70151733	-1.70314507	4	8
0	0	9	9
11.99993742	10.71458729	5	2
6.57716641	7.01294973	3	1
15.68043392	-2.45397905	6	6
0	0	9	5
0	0	9	8
0	0	9	2
20.50535461	33.9416705	7	5
0	0	9	9
0	0	9	6
6.3732713	5.94456104	4	2
0	0	9	8
0	0	9	9
0	0	9	6
